_id;condition;envCond;envNoise1;envNoise11;envNoise21;envNoise31;envNoise41;envNoise51;file;rating;timeSecQA;timeStampQA;trapQx;trapQxSF;user
5d650fc3847cf41565317622;c46;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s2_c46_Skype_1xTor_acoustSend_+5dB.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317623;c48;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s3_c48_Skype_1xTor_-8dB_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317624;c33;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s3_c33_BabbleNoise18dBSNR_IRS_EVRC-A_codecNS.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317625;c43;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;Schlecht_m_CH_m2_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317626;c45;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s4_c45_Skype_1xTor_acoustSend_-8dB.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317627;c33;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s3_c33_BabbleNoise18dBSNR_IRS_EVRC-A_codecNS.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317628;c06;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s1_c06_-36dBASL.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317629;c50;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s4_c50_Skype_1xTor_clipped_acoustSend_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531762a;c49;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s4_c49_Skype_1xTor_-16dB_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531762b;c06;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s1_c06_-36dBASL.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
